"Sr.No","Round ▲▼","Institute ▲▼","Program ▲▼","Stream ▲▼","Quota ▲▼","Category ▲▼","Seat Gender ▲▼","Opening Rank ▲▼","Closing Rank ▲▼","Remark ▲▼"
"1","Round 1","Dr. Bhim Rao Ambedkar University, Agra","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","73614.00","128116.00","Fresh Only"
"2","Round 1","Dr. Bhim Rao Ambedkar University, Agra","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","SC(Girl)","Female Seats","203916.00","203916.00","Fresh Only"
"3","Round 1","Dr. Bhim Rao Ambedkar University, Agra","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","SC","Both Male and Female Seats","177677.00","177677.00","Fresh Only"
"4","Round 1","Dr. Bhim Rao Ambedkar University, Agra","Electronics & Communication","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","115651.00","233495.00","Fresh Only"
"5","Round 1","Khwaja Moinuddin Chishti Language University, Lucknow","Civil Engineering","B.E./B. Tech (Lateral Entry)","Home State","BC","Both Male and Female Seats","175728.00","238147.00","Fresh Only"
"6","Round 1","Khwaja Moinuddin Chishti Language University, Lucknow","Civil Engineering","B.E./B. Tech (Lateral Entry)","Home State","EWS(OPEN)","Both Male and Female Seats","179876.00","179876.00","Fresh Only"
"7","Round 1","Khwaja Moinuddin Chishti Language University, Lucknow","Civil Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN(GIRL)","Female Seats","131048.00","196059.00","Fresh Only"
"8","Round 1","Khwaja Moinuddin Chishti Language University, Lucknow","Civil Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","92899.00","174488.00","Fresh Only"
"9","Round 1","Khwaja Moinuddin Chishti Language University, Lucknow","Civil Engineering","B.E./B. Tech (Lateral Entry)","Home State","SC","Both Male and Female Seats","210232.00","210232.00","Fresh Only"
"10","Round 1","Khwaja Moinuddin Chishti Language University, Lucknow","Mechanical Engineering","B.E./B. Tech (Lateral Entry)","Home State","OPEN","Both Male and Female Seats","192842.00","199732.00","Fresh Only"
"11","Round 1","Khwaja Moinuddin Chishti Language University, Lucknow","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","BC(Girl)","Female Seats","103464.00","103464.00","Fresh Only"
"12","Round 1","Khwaja Moinuddin Chishti Language University, Lucknow","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","BC","Both Male and Female Seats","96404.00","106098.00","Fresh Only"
"13","Round 1","Khwaja Moinuddin Chishti Language University, Lucknow","Computer Science & Engineering","B.E./B. Tech (Lateral Entry)","Home State","EWS(OPEN)","Both Male and Female Seats","101826.00","101826.00","Fresh Only"
